ID	Type	x	y	z
1113	1	-1.000000	8.000000	0.000000
1114	1	-1.000000	9.000000	0.000000
1115	1	-1.000000	10.000000	0.000000
1116	1	0.000000	7.000000	0.000000
1117	1	0.000000	8.000000	0.000000
1118	1	0.000000	9.000000	0.000000
1119	1	0.000000	10.000000	0.000000
1141	1	1.000000	7.000000	0.000000
1142	1	1.000000	8.000000	0.000000
1143	1	1.000000	9.000000	0.000000
1144	1	1.000000	10.000000	0.000000
1145	1	2.000000	7.000000	0.000000
1146	1	2.000000	8.000000	0.000000
1147	1	2.000000	9.000000	0.000000
1148	1	2.000000	10.000000	0.000000
1149	1	3.000000	7.000000	0.000000
1150	1	3.000000	8.000000	0.000000
1151	1	3.000000	9.000000	0.000000
1152	1	3.000000	10.000000	0.000000
1174	1	4.000000	7.000000	0.000000
1175	1	4.000000	8.000000	0.000000
1176	1	4.000000	9.000000	0.000000
1177	1	4.000000	10.000000	0.000000
1178	1	5.000000	7.000000	0.000000
1179	1	5.000000	8.000000	0.000000
1180	1	5.000000	9.000000	0.000000
1181	1	5.000000	10.000000	0.000000
1182	1	6.000000	7.000000	0.000000
1183	1	6.000000	8.000000	0.000000
1184	1	6.000000	9.000000	0.000000
1185	1	6.000000	10.000000	0.000000
1207	1	7.000000	7.000000	0.000000
1208	1	7.000000	8.000000	0.000000
1209	1	7.000000	9.000000	0.000000
1210	1	7.000000	10.000000	0.000000
1211	1	8.000000	7.000000	0.000000
1212	1	8.000000	8.000000	0.000000
1213	1	8.000000	9.000000	0.000000
1214	1	8.000000	10.000000	0.000000
1215	1	9.000000	7.000000	0.000000
1216	1	9.000000	8.000000	0.000000
1217	1	9.000000	9.000000	0.000000
1218	1	9.000000	10.000000	0.000000
1219	1	10.000000	7.000000	0.000000
1220	1	10.000000	8.000000	0.000000
1221	1	10.000000	9.000000	0.000000
1222	1	10.000000	10.000000	0.000000
