ID	Type	x	y	z
140	2	0.707110	-7.292890	0.000000
141	2	2.707110	-8.292890	0.000000
142	2	0.292890	-8.707110	0.000000
143	2	0.707110	-8.292890	0.000000
144	2	1.292890	-9.707110	0.000000
145	2	3.292890	-9.707110	0.000000
146	2	1.292890	-8.707110	0.000000
147	2	1.707110	-9.292890	0.000000
148	2	1.707110	-7.292890	0.000000
149	2	2.292890	-8.707110	0.000000
150	2	2.707110	-7.292890	0.000000
163	2	4.292890	-7.707110	0.000000
164	2	4.707110	-7.292890	0.000000
165	2	5.707110	-8.292890	0.000000
166	2	4.292890	-9.707110	0.000000
167	2	5.292890	-8.707110	0.000000
168	2	5.292890	-7.707110	0.000000
169	2	5.292890	-6.707110	0.000000
170	2	4.292890	-6.707110	0.000000
171	2	3.707110	-9.292890	0.000000
172	2	3.707110	-8.292890	0.000000
173	2	3.707110	-7.292890	0.000000
174	2	4.292890	-8.707110	0.000000
175	2	4.707110	-9.292890	0.000000
176	2	5.707110	-9.292890	0.000000
177	2	4.707110	-8.292890	0.000000
178	2	5.292890	-9.707110	0.000000
179	2	6.707110	-9.292890	0.000000
180	2	6.292890	-9.707110	0.000000
181	2	5.707110	-7.292890	0.000000
182	2	6.292890	-8.707110	0.000000
183	2	6.707110	-8.292890	0.000000
184	2	6.292890	-6.707110	0.000000
185	2	6.292890	-7.707110	0.000000
186	2	6.707110	-7.292890	0.000000
203	2	7.292890	-6.707110	0.000000
204	2	8.292890	-8.707110	0.000000
205	2	8.292890	-6.707110	0.000000
206	2	8.292890	-9.707110	0.000000
207	2	7.707110	-9.292890	0.000000
208	2	7.292890	-9.707110	0.000000
209	2	7.292890	-7.707110	0.000000
210	2	7.292890	-8.707110	0.000000
211	2	7.707110	-8.292890	0.000000
212	2	9.292890	-6.707110	0.000000
213	2	9.707110	-7.292890	0.000000
214	2	9.292890	-7.707110	0.000000
215	2	8.707110	-7.292890	0.000000
216	2	8.292890	-7.707110	0.000000
217	2	7.707110	-7.292890	0.000000
218	2	9.292890	-8.707110	0.000000
219	2	8.707110	-8.292890	0.000000
220	2	9.292890	-9.707110	0.000000
221	2	8.707110	-9.292890	0.000000
222	2	9.707110	-8.292890	0.000000
223	2	9.707110	-9.292890	0.000000
236	2	-6.707110	-5.707110	0.000000
237	2	-9.292890	-5.292890	0.000000
238	2	-8.292890	-6.292890	0.000000
239	2	-9.292890	-4.292890	0.000000
